Analyte Name,Acronym,CAS Number,MW,Molecular formula,SMILES
N-methyl perfluorooctanesulfonamidoacetic acid (linear and branched isomers),NMeFOSAA,2355-31-9,571.2,C11H6F17NO4S,CN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
N-ethyl perfluorooctanesulfonamidoacetic acid (linear and branched isomers),NEtFOSAA,2991-50-6,585.24,C12H8F17NO4S,CCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
Perfluorooctanesulfonamide,PFOSA,754-91-6,499.15,C8H2F17NO2S,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
N-methyl perfluorooctanesulfonamide,NMeFOSA,31506-32-8,513.17,C9H4F17NO2S,CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
N-ethyl perfluorooctanesulfonamide,NEtFOSA,4151-50-2,527.2,"	C10H6F17NO2S",CCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
N-methyl perfluorooctanesulfonamidoethanol,NMeFOSE,24448-09-7,557.224,C11H8F17NO3S,CN(C(O)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
N-ethyl perfluorooctanesulfonamidoethanol,NEtFOSE,1691-99-2,571.25,C12H10F17NO3S,CCN(C(O)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
3-Perfluoropropyl propanoic acid,3:3FTCA,356-02-5,242.09,C6H5F7O2,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)F
"2H,2H,3H,3H-Perfluorooctanoic acid",5:3FTCA,914637-49-3,342.11,C8H5F11O2,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
3-Perfluoroheptyl propanoic acid,7:3FTCA,812-70-4,442.12,C10H5F15O2,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
