,0,1,2,3,4,5,NMR_Peaks,OnRing,OnRing,NotOnRing,O-C(F)=C-
11_aromatics_19,['C'],"['C', 'C']","['C', 'F', 'F', 'C']","['C', 'C', 'F', 'C']","['C', 'C', 'F', 'F']","['C', 'F', 'F', 'C']",-160.53,1,-160.53,,
13_aromatics_19,['C'],"['C', 'C']","['C', 'F', 'F', 'C']","['C', 'F', 'F', 'C']","['C', 'C']","['C', 'C', 'C', 'C']",-150,1,-150,,
15_aromatics_19,['C'],"['C', 'C']","['C', 'F', 'F', 'C']","['C', 'F', 'C', 'C']","['F', 'C', 'C', 'F']","['C', 'F', 'F', 'C']",-160.53,1,-160.53,,
17_aromatics_19,['C'],"['C', 'C']","['C', 'F', 'C', 'C']","['C', 'F', 'C', 'C', 'F', 'C']","['F', 'C', 'F', 'F', 'C', 'F']","['C', 'F', 'F', 'C']",-137.57,1,-137.57,,
19_aromatics_19,['C'],"['C', 'C']","['C', 'C', 'F', 'C']","['C', 'F', 'C', 'C', 'F', 'C']","['F', 'F', 'C', 'C', 'F', 'F']","['F', 'C', 'C', 'F']",-137.57,1,-137.57,,
21_aromatics_19,['C'],"['C', 'C']","['C', 'F', 'F', 'C']","['C', 'C', 'F', 'C']","['F', 'C', 'C', 'F']","['F', 'C', 'C', 'F']",-160.53,1,-160.53,,
0_aromatics_20,['C'],"['C', 'C']","['F', 'C', 'C', 'F']","['F', 'C', 'C', 'C']","['C', 'C', 'F', 'C']","['F', 'C', 'C', 'F', 'F', 'C']",-145.29,1,-145.29,,
3_aromatics_20,['C'],"['C', 'C']","['F', 'C', 'F', 'C']","['C', 'F', 'C', 'C']","['C', 'F', 'C', 'C']","['C', 'F', 'F', 'C', 'C', 'F']",-145.29,1,-145.29,,
5_aromatics_20,['C'],"['C', 'C']","['C', 'F', 'C', 'C']","['F', 'C', 'F', 'C', 'C', 'C']","['F', 'F', 'C', 'C', 'F', 'F']","['F', 'F']",-153.86,1,-153.86,,
8_aromatics_20,['C'],"['C', 'C']","['C', 'C', 'F', 'C']","['C', 'F', 'C', 'C', 'F', 'C']","['C', 'F', 'F', 'F', 'C', 'F']","['F', 'F']",-153.86,1,-153.86,,
10_aromatics_20,['C'],"['C', 'C']","['C', 'F', 'F', 'C']","['C', 'C', 'F', 'C']","['C', 'F', 'C', 'C']","['C', 'F', 'F', 'C', 'F', 'C']",-145.29,1,-145.29,,
12_aromatics_20,['C'],"['C', 'C']","['C', 'F', 'F', 'C']","['C', 'F', 'C', 'C']","['C', 'F', 'C', 'C']","['C', 'F', 'F', 'C', 'C', 'F']",-145.29,1,-145.29,,
14_aromatics_20,['C'],"['C', 'C']","['C', 'F', 'C', 'C']","['C', 'F', 'F', 'C', 'C', 'C']","['F', 'F', 'C', 'C', 'F', 'F']","['F', 'F']",-153.86,1,-153.86,,
0_From_Review_21,['C'],"['C', 'H']","['Cl', 'H']",[],[],[],-127.9,1,-127.9,,
2_From_Review_113,['C'],"['C', 'H']","['H', 'H']",[],[],[],-113,,,-113,
3_From_Review_114,['C'],"['C', 'H']","['C', 'H']","['H', 'H', 'H']",[],[],-130,,,-130,
6_From_Review_115,['C'],"['C', 'H']","['C', 'H']","['C', 'H', 'H']","['C', 'H', 'H']","['C', 'H', 'H']",-130,,,-130,
3_From_Review_116,['C'],"['C', 'H']","['C', 'H']","['H', 'H', 'H']",[],[],-131,,,-131,
6_From_Review_117,['C'],"['C', 'H']","['C', 'H']","['C', 'H', 'H']","['C', 'H', 'H']","['C', 'H', 'H']",-131,,,-131,
14_From_Review_118,['C'],"['C', 'H']","['C', 'C']","['C', 'H', 'H', 'H', 'H', 'H']","['C', 'H', 'H']","['C', 'H', 'H']",-137,,,-137,
3_From_Review_119,['C'],"['C', 'C']","['H', 'H', 'H', 'H', 'H']",[],[],[],-88,,,-88,
8_From_Review_120,['C'],"['C', 'C']","['C', 'H', 'C', 'H', 'H']","['C', 'H', 'H', 'C', 'H', 'H']","['C', 'H', 'H', 'C', 'H', 'H']","['C', 'H', 'H', 'C', 'H', 'H']",-111,,,-111,
8_From_Review_121,['C'],"['C', 'C']","['C', 'H', 'C', 'H', 'H']","['C', 'H', 'H', 'C', 'H', 'H']","['C', 'H', 'H', 'C', 'H', 'H']","['C', 'H', 'H', 'C', 'H', 'H']",-106,,,-106,
0_From_Review_122,['C'],"['C', 'C']","['C', 'H', 'C', 'H', 'H']","['C', 'H', 'H', 'C', 'H', 'H']","['H', 'H', 'H', 'H']",[],-101,1,-101,,
0_From_Review_123,['C'],"['C', 'C']","['C', 'H', 'C', 'H', 'H']","['C', 'H', 'H', 'C', 'H', 'H']","['C', 'H', 'H', 'C', 'H', 'H']","['C', 'H', 'H', 'C', 'H']",-125,1,-125,,
0_From_Review_124,['C'],"['C', 'C']","['C', 'H', 'C', 'H', 'H']","['H', 'H', 'H', 'H']",[],[],-85,1,-85,,
4_From_Review_125,['C'],"['C', 'H']","['C', 'H']","['C', 'H']","['H', 'H']",[],-127,,,-127,
4_From_Review_126,['C'],"['C', 'H']","['C', 'H']","['C', 'H']","['H', 'H']",[],-126,,,-126,
0_From_Review_127,['C'],"['C', 'H']","['C', 'H']","['C', 'C']","['C', 'H', 'C', 'H']","['C', 'H', 'C', 'H']",-130,,,-130,
0_From_Review_128,['C'],"['C', 'H']","['C', 'H']","['C', 'C']","['C', 'H', 'C', 'H']","['C', 'H', 'C', 'H']",-123,,,-123,
8_From_Review_129,['C'],"['C', 'C']","['C', 'H', 'C']","['C', 'C', 'C']","['C', 'H', 'C', 'H', 'C', 'C']","['C', 'H', 'C', 'H', 'C', 'H', 'C', 'H']",-105.5,,,-105.5,
8_From_Review_130,['C'],"['C', 'C']","['C', 'H', 'C']","['C', 'C', 'C']","['C', 'H', 'C', 'H', 'C', 'C']","['C', 'H', 'C', 'H', 'C', 'H', 'C', 'H']",-107.4,,,-107.4,
4_From_Review_131,['C'],"['C', 'C']","['C', 'H', 'H', 'H']","['H', 'H']",[],[],-120,,,-120,
2_From_Review_132,['C'],"['C', 'C']","['H', 'H', 'C', 'C']","['C', 'H', 'C', 'H']","['C', 'H', 'C', 'H']","['H', 'H']",-120,,,-120,
0_From_Review_133,['C'],"['C', 'H']","['C', 'H']","['O', 'H', 'H']",['C'],"['C', 'H', 'H']",-125,,,-125,
0_From_Review_134,['C'],"['C', 'H']","['C', 'H']","['O', 'H', 'H']",['C'],"['C', 'H', 'H']",-126,,,-126,
7_From_Review_135,['C'],"['C', 'H']","['C', 'H']","['O', 'H', 'H']",['C'],"['C', 'O']",-123,,,-123,
7_From_Review_136,['C'],"['C', 'H']","['C', 'H']","['O', 'H', 'H']",['C'],"['C', 'O']",-125,,,-125,
5_From_Review_137,['C'],"['C', 'C']","['C', 'H', 'H', 'C', 'H']","['C', 'H', 'H', 'O', 'H', 'H']","['C', 'H', 'H', 'H']","['H', 'H', 'H']",-106,,,-106,
4_From_Review_138,['C'],"['C', 'C']","['C', 'H', 'C', 'C']","['O', 'H', 'H', 'C', 'H', 'C', 'H']","['H', 'C', 'H', 'C', 'H']","['H', 'H']",-118,,,-118,
4_From_Review_139,['C'],"['C', 'C']","['C', 'H', 'C', 'C']","['O', 'H', 'H', 'C', 'H', 'C', 'H']","['H', 'C', 'H', 'C', 'H']","['H', 'H']",-98,,,-98,
2_From_Review_140,['C'],"['C', 'C']","['H', 'H', 'O', 'H', 'H']",['H'],[],[],-108,,,-108,
3_From_Review_141,['C'],"['C', 'C']","['O', 'H', 'H', 'C', 'H']","['H', 'C', 'C']","['C', 'H', 'C', 'H']","['C', 'H', 'C', 'H']",-114,,,-114,
3_From_Review_142,['C'],"['C', 'C']","['O', 'H', 'H', 'C', 'H']","['H', 'C', 'C']","['C', 'H', 'C', 'H']","['C', 'H', 'C', 'H']",-109,,,-109,
0_From_Review_143,['C'],"['C', 'H']","['C', 'H']","['Br', 'H', 'H']",[],[],-124,,,-124,
0_From_Review_144,['C'],"['C', 'H']","['C', 'H']","['Br', 'H', 'H']",[],[],-125,,,-125,
2_From_Review_145,['C'],"['C', 'C']","['H', 'H', 'Cl', 'H', 'H']",[],[],[],-101,,,-101,
