,0,1,2,3,4,5,NMR_Peaks,OnRing,OnRing,NotOnRing,O-C(F)=C-
10_From_Review_452,['C'],"['C', 'C']","['C', 'Br', 'F', 'C']","['C', 'F', 'C', 'H']","['F', 'F']",[],-133,1,-133,,
5_From_Review_453,['C'],"['C', 'C']","['C', 'C', 'F', 'C']","['N', 'O', 'C', 'F', 'C', 'H']","['H', 'H', 'F', 'F']",[],-138,1,-138,,
7_From_Review_453,['C'],"['C', 'C']","['C', 'F', 'C', 'H']","['C', 'C', 'F', 'C']","['N', 'O', 'F', 'F']","['H', 'H']",-158,1,-158,,
10_From_Review_453,['C'],"['C', 'C']","['C', 'H', 'F', 'C']","['C', 'F', 'C', 'C']","['F', 'N', 'O', 'F']","['H', 'H']",-158,1,-158,,
12_From_Review_453,['C'],"['C', 'C']","['C', 'F', 'C', 'C']","['C', 'H', 'N', 'O', 'F', 'C']","['F', 'H', 'H', 'F']",[],-138,1,-138,,
6_From_Review_454,['C'],"['C', 'C']","['C', 'C', 'F', 'C']","['C', 'C', 'F', 'C', 'C']","['C', 'F', 'F', 'F', 'F', 'F']","['O', 'H', 'H']",-142,1,-142,,
8_From_Review_454,['C'],"['C', 'C']","['C', 'F', 'C', 'C']","['C', 'C', 'F', 'F', 'F', 'F', 'C']","['C', 'F', 'F']",['C'],-136,1,-136,,
15_From_Review_454,['C'],"['C', 'C']","['C', 'C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'C', 'C']","['F', 'C', 'F']",['C'],-136,1,-136,,
17_From_Review_454,['C'],"['C', 'C']","['C', 'F', 'C', 'C']","['C', 'C', 'C', 'F', 'C']","['F', 'F', 'F', 'F', 'C', 'F']","['O', 'H', 'H']",-142,1,-142,,
0_From_Review_455,['C'],"['C', 'C']","['F', 'C', 'C', 'Cl']","['C', 'C', 'C', 'F']","['F', 'F', 'F', 'F', 'F']",[],-138,1,-138,,
3_From_Review_455,['C'],"['C', 'C']","['F', 'C', 'C', 'C']","['C', 'Cl', 'F', 'F', 'F', 'F', 'C']","['F', 'F']",[],-139,1,-139,,
10_From_Review_455,['C'],"['C', 'C']","['C', 'C', 'F', 'C']","['C', 'F', 'F', 'F', 'F', 'Cl', 'C']","['F', 'F']",[],-139,1,-139,,
12_From_Review_455,['C'],"['C', 'C']","['C', 'F', 'Cl', 'C']","['C', 'C', 'F', 'C']","['F', 'F', 'F', 'F', 'F']",[],-138,1,-138,,
4_From_Review_456,['C'],"['C', 'C']","['O', 'C', 'F', 'C']","['C', 'C', 'F', 'Br', 'C']","['H', 'H', 'H', 'F', 'F']",[],-157,1,-157,,
6_From_Review_456,['C'],"['C', 'C']","['C', 'F', 'Br', 'C']","['O', 'C', 'F', 'C']","['C', 'F', 'F']","['H', 'H', 'H']",-135,1,-135,,
10_From_Review_456,['C'],"['C', 'C']","['C', 'Br', 'F', 'C']","['C', 'F', 'O', 'C']","['F', 'C', 'F']","['H', 'H', 'H']",-135,1,-135,,
12_From_Review_456,['C'],"['C', 'C']","['C', 'F', 'O', 'C']","['C', 'Br', 'C', 'F', 'C']","['F', 'H', 'H', 'H', 'F']",[],-157,1,-157,,
3_From_Review_457,['C'],"['C', 'C']","['O', 'C', 'F', 'C']","['H', 'C', 'F', 'F', 'C']","['F', 'F']",[],-164.4,1,-164.4,,
5_From_Review_457,['C'],"['C', 'C']","['C', 'F', 'F', 'C']","['O', 'C', 'F', 'C']","['H', 'F', 'F']",[],-165.8,1,-165.8,,
7_From_Review_457,['C'],"['C', 'C']","['C', 'F', 'F', 'C']","['C', 'F', 'F', 'C']","['O', 'O']","['H', 'H']",-171.2,1,-171.2,,
9_From_Review_457,['C'],"['C', 'C']","['C', 'F', 'F', 'C']","['C', 'F', 'O', 'C']","['F', 'H', 'F']",[],-165.8,1,-165.8,,
11_From_Review_457,['C'],"['C', 'C']","['C', 'F', 'O', 'C']","['C', 'F', 'H', 'F', 'C']","['F', 'F']",[],-164.4,1,-164.4,,
3_From_Review_458,['C'],"['C', 'C']","['C', 'C', 'F', 'C']","['H', 'H', 'H', 'C', 'F', 'F', 'C']","['F', 'F']",[],-143.9,1,-143.9,,
5_From_Review_458,['C'],"['C', 'C']","['C', 'F', 'F', 'C']","['C', 'C', 'F', 'C']","['H', 'H', 'H', 'F', 'F']",[],-164.4,1,-164.4,,
7_From_Review_458,['C'],"['C', 'C']","['C', 'F', 'F', 'C']","['C', 'F', 'F', 'C']","['C', 'C']","['H', 'H', 'H', 'H', 'H', 'H']",-159.1,1,-159.1,,
9_From_Review_458,['C'],"['C', 'C']","['C', 'F', 'F', 'C']","['C', 'F', 'C', 'C']","['F', 'H', 'H', 'H', 'F']",[],-164.4,1,-164.4,,
11_From_Review_458,['C'],"['C', 'C']","['C', 'F', 'C', 'C']","['C', 'F', 'H', 'H', 'H', 'F', 'C']","['F', 'F']",[],-143.9,1,-143.9,,
0_From_Review_459,['C'],"['C', 'C']","['C', 'H', 'C', 'F']","['F', 'C', 'C', 'F']","['F', 'F']",[],-138.7,1,-138.7,,
4_From_Review_459,['C'],"['C', 'C']","['C', 'H', 'F', 'C']","['F', 'C', 'F', 'C']","['F', 'F']",[],-138.7,1,-138.7,,
6_From_Review_459,['C'],"['C', 'C']","['C', 'F', 'F', 'C']","['C', 'H', 'F', 'C']","['F', 'F']",[],-162.6,1,-162.6,,
8_From_Review_459,['C'],"['C', 'C']","['C', 'F', 'F', 'C']","['C', 'F', 'F', 'C']","['H', 'H']",[],-154.3,1,-154.3,,
10_From_Review_459,['C'],"['C', 'C']","['C', 'F', 'F', 'C']","['C', 'F', 'C', 'H']","['F', 'F']",[],-162.6,1,-162.6,,
4_From_Review_460,['C'],"['C', 'C']","['C', 'C', 'F', 'C']","['N', 'C', 'F', 'F', 'C']","['F', 'F']",[],-132,1,-132,,
6_From_Review_460,['C'],"['C', 'C']","['C', 'F', 'F', 'C']","['C', 'C', 'F', 'C']","['N', 'F', 'F']",[],-158.9,1,-158.9,,
8_From_Review_460,['C'],"['C', 'C']","['C', 'F', 'F', 'C']","['C', 'F', 'F', 'C']","['C', 'C']","['N', 'N']",-143.2,1,-143.2,,
10_From_Review_460,['C'],"['C', 'C']","['C', 'F', 'F', 'C']","['C', 'F', 'C', 'C']","['F', 'N', 'F']",[],-158.9,1,-158.9,,
12_From_Review_460,['C'],"['C', 'C']","['C', 'F', 'C', 'C']","['C', 'F', 'N', 'F', 'C']","['F', 'F']",[],-132,1,-132,,
0_From_Review_461,['C'],"['C', 'C']","['C', 'H', 'N', 'F']","['C', 'H', 'C']","['H', 'H']",[],-140,1,-140,,
7_From_Review_461,['C'],"['N', 'C']","['C', 'F', 'C']","['C', 'H', 'C', 'H']","['H', 'H']",[],-87,1,-87,,
0_From_Review_462,['C'],"['C', 'C']","['C', 'H', 'C', 'H']","['N', 'H', 'N', 'F']",[],[],-99,1,-99,,
6_From_Review_462,['C'],"['N', 'C']","['C', 'C', 'H']","['C', 'H', 'F', 'C']","['H', 'H']",[],-63,1,-63,,
0_From_Review_463,['C'],"['C', 'C']","['C', 'H', 'N', 'H']","['C', 'H', 'C']","['F', 'F']",[],-134,1,-134,,
5_From_Review_463,['C'],"['C', 'N']","['C', 'H', 'C']","['C', 'H', 'C', 'H']","['F', 'F']",[],-73,1,-73,,
0_From_Review_464,['C'],"['C', 'N']","['C', 'H', 'C']","['C', 'H', 'C', 'F']","['H', 'H']",[],-70,1,-70,,
6_From_Review_464,['C'],"['C', 'N']","['C', 'H', 'C']","['C', 'H', 'F', 'C']","['H', 'H']",[],-70,1,-70,,
0_From_Review_465,['C'],"['C', 'N']","['C', 'H', 'C']","['F', 'C', 'C', 'F']","['F', 'F']",[],-69,1,-69,,
4_From_Review_465,['C'],"['C', 'C']","['C', 'H', 'F', 'C']","['F', 'N', 'F', 'N']",[],[],-116,1,-116,,
6_From_Review_465,['C'],"['C', 'C']","['C', 'F', 'F', 'N']","['C', 'H', 'C']","['F', 'F']",[],-170,1,-170,,
8_From_Review_465,['C'],"['C', 'N']","['C', 'F', 'C']","['C', 'F', 'F', 'C']","['H', 'H']",[],-84,1,-84,,
0_From_Review_466,['C'],"['C', 'C']","['N', 'H', 'C', 'H']","['C', 'C', 'F']","['H', 'H']",[],-125,1,-125,,
6_From_Review_466,['C'],"['C', 'C']","['N', 'H', 'C', 'H']","['C', 'F', 'C']","['H', 'H']",[],-126,1,-126,,
0_From_Review_467,['C'],"['C', 'C']","['C', 'H', 'C', 'F']","['N', 'H', 'N', 'F']",[],[],-123,1,-123,,
6_From_Review_467,['C'],"['N', 'C']","['C', 'F', 'C']","['C', 'H', 'F', 'C']","['H', 'H']",[],-83,1,-83,,
8_From_Review_467,['C'],"['C', 'C']","['N', 'F', 'F', 'C']","['C', 'C', 'H']","['H', 'H']",[],-165,1,-165,,
0_From_Review_468,['C'],"['C', 'C']","['N', 'H', 'C', 'H']","['C', 'C', 'F']","['F', 'F']",[],-129,1,-129,,
5_From_Review_468,['C'],"['N', 'C']","['C', 'F', 'C']","['C', 'H', 'C', 'H']","['F', 'F']",[],-91,1,-91,,
7_From_Review_468,['C'],"['C', 'C']","['N', 'F', 'C', 'H']","['C', 'F', 'C']","['H', 'H']",[],-136,1,-136,,
0_From_Review_469,['C'],"['C', 'N']","['C', 'H', 'C']","['C', 'H', 'C', 'F']","['F', 'F']",[],-73,1,-73,,
5_From_Review_469,['C'],"['C', 'C']","['C', 'H', 'F', 'N']","['C', 'H', 'C']","['F', 'F']",[],-147,1,-147,,
7_From_Review_469,['C'],"['C', 'N']","['C', 'F', 'C']","['C', 'H', 'F', 'C']","['H', 'H']",[],-86,1,-86,,
0_From_Review_470,['C'],"['C', 'C']","['C', 'H', 'C', 'H']","['F', 'N', 'N', 'F']",[],[],-95,1,-95,,
4_From_Review_470,['C'],"['C', 'N']","['C', 'H', 'C']","['F', 'C', 'F', 'C']","['H', 'H']",[],-65,1,-65,,
7_From_Review_470,['C'],"['N', 'C']","['C', 'C', 'H']","['C', 'F', 'F', 'C']","['H', 'H']",[],-65,1,-65,,
0_From_Review_471,['C'],"['C', 'C']","['N', 'H', 'C', 'F']","['C', 'C', 'F']","['H', 'H']",[],-146,1,-146,,
6_From_Review_471,['C'],"['C', 'C']","['N', 'H', 'F', 'C']","['C', 'F', 'C']","['H', 'H']",[],-146,1,-146,,
8_From_Review_471,['C'],"['C', 'C']","['C', 'F', 'F', 'C']","['N', 'H', 'N', 'H']",[],[],-148,1,-148,,
0_From_Review_472,['C'],"['C', 'C']","['N', 'H', 'C', 'F']","['C', 'C', 'F']","['F', 'F']",[],-150,1,-150,,
5_From_Review_472,['C'],"['N', 'C']","['C', 'F', 'C']","['C', 'H', 'F', 'C']","['F', 'F']",[],-83,1,-83,,
7_From_Review_472,['C'],"['C', 'C']","['N', 'F', 'F', 'C']","['C', 'F', 'C']","['H', 'H']",[],-158,1,-158,,
9_From_Review_472,['C'],"['C', 'C']","['C', 'F', 'F', 'C']","['N', 'F', 'N', 'H']",[],[],-141,1,-141,,
0_From_Review_473,['C'],"['C', 'C']","['C', 'H', 'N', 'F']","['F', 'C', 'C']","['F', 'F']",[],-141,1,-141,,
4_From_Review_473,['C'],"['C', 'C']","['C', 'H', 'F', 'N']","['F', 'C', 'C']","['F', 'F']",[],-141,1,-141,,
6_From_Review_473,['C'],"['C', 'N']","['C', 'F', 'C']","['C', 'H', 'F', 'C']","['F', 'F']",[],-93,1,-93,,
9_From_Review_473,['C'],"['N', 'C']","['C', 'F', 'C']","['C', 'F', 'C', 'H']","['F', 'F']",[],-93,1,-93,,
0_From_Review_474,['C'],"['N', 'C']","['C', 'C', 'F']","['F', 'C', 'C', 'F']","['F', 'F']",[],-88,1,-88,,
4_From_Review_474,['C'],"['N', 'C']","['C', 'F', 'C']","['F', 'C', 'F', 'C']","['F', 'F']",[],-88,1,-88,,
6_From_Review_474,['C'],"['C', 'C']","['N', 'F', 'F', 'C']","['C', 'F', 'C']","['F', 'F']",[],-162,1,-162,,
8_From_Review_474,['C'],"['C', 'C']","['C', 'F', 'F', 'C']","['N', 'F', 'F', 'N']",[],[],-134,1,-134,,
10_From_Review_474,['C'],"['C', 'C']","['C', 'F', 'F', 'N']","['C', 'F', 'C']","['F', 'F']",[],-162,1,-162,,
0_From_Review_475,['C'],"['N', 'C']","['C', 'C', 'F']","['F', 'C', 'C', 'Cl']","['F', 'F']",[],-88,1,-88,,
4_From_Review_475,['C'],"['N', 'C']","['C', 'F', 'C']","['F', 'C', 'Cl', 'C']","['F', 'F']",[],-88,1,-88,,
6_From_Review_475,['C'],"['C', 'C']","['N', 'F', 'Cl', 'C']","['C', 'F', 'C']","['F', 'F']",[],-141,1,-141,,
10_From_Review_475,['C'],"['C', 'C']","['C', 'Cl', 'F', 'N']","['C', 'F', 'C']","['F', 'F']",[],-141,1,-141,,
0_From_Review_476,['C'],"['N', 'C']","['C', 'C', 'F']","['F', 'C', 'C', 'Br']","['F', 'F']",[],-88,1,-88,,
4_From_Review_476,['C'],"['N', 'C']","['C', 'F', 'C']","['F', 'C', 'Br', 'C']","['F', 'F']",[],-88,1,-88,,
6_From_Review_476,['C'],"['C', 'C']","['N', 'F', 'Br', 'C']","['C', 'F', 'C']","['F', 'F']",[],-125,1,-125,,
10_From_Review_476,['C'],"['C', 'C']","['C', 'Br', 'F', 'N']","['C', 'F', 'C']","['F', 'F']",[],-125,1,-125,,
0_From_Review_477,['C'],"['C', 'C']","['C', 'H', 'O', 'F']","['O', 'H', 'C']","['C', 'C', 'H']","['F', 'C', 'C', 'H']",-188,1,-188,,
6_From_Review_477,['C'],"['O', 'C']","['C', 'F', 'C']","['C', 'H', 'C', 'H']","['C', 'H', 'O', 'H']","['F', 'C', 'C']",-130,1,-130,,
0_From_Review_478,['C'],"['C', 'O']","['C', 'H', 'C']","['C', 'H', 'C', 'F']","['F', 'O', 'C', 'H']","['C', 'C', 'H']",-123,1,-123,,
5_From_Review_478,['C'],"['C', 'O']","['C', 'H', 'C']","['C', 'H', 'F', 'C']","['F', 'O', 'C', 'H']","['C', 'C', 'H']",-123,1,-123,,
0_From_Review_479,['C'],"['C', 'C']","['O', 'H', 'C', 'F']","['C', 'O', 'H']","['C', 'H', 'C']","['F', 'C', 'C', 'H']",-182,1,-182,,
6_From_Review_479,['C'],"['C', 'C']","['O', 'H', 'F', 'C']","['C', 'O', 'H']","['C', 'H', 'C']","['F', 'C', 'C', 'H']",-182,1,-182,,
0_From_Review_480,['C'],"['C', 'C']","['O', 'H', 'C', 'F']","['C', 'O', 'F']","['F', 'C', 'C']","['F', 'C', 'C', 'H']",-171,1,-171,,
5_From_Review_480,['C'],"['O', 'C']","['C', 'F', 'C']","['C', 'H', 'F', 'C']","['F', 'C', 'O', 'H']","['C', 'F', 'C']",-122,1,-122,,-122
7_From_Review_480,['C'],"['C', 'C']","['O', 'F', 'F', 'C']","['C', 'O', 'H']","['C', 'H', 'C']","['F', 'C', 'F', 'C']",-195,1,-195,,
0_From_Review_481,['C'],"['O', 'C']","['C', 'C', 'F']","['F', 'C', 'C', 'F']","['F', 'C', 'O', 'F']","['F', 'C', 'C']",-137,1,-137,,
4_From_Review_481,['C'],"['O', 'C']","['C', 'F', 'C']","['F', 'C', 'F', 'C']","['C', 'F', 'F', 'O']","['C', 'F', 'C']",-137,1,-137,,
6_From_Review_481,['C'],"['C', 'C']","['O', 'F', 'F', 'C']","['C', 'F', 'O']","['F', 'C', 'C']","['C', 'F', 'F', 'C']",-196,1,-196,,
8_From_Review_481,['C'],"['C', 'C']","['C', 'F', 'F', 'O']","['O', 'F', 'C']","['C', 'F', 'C']","['F', 'C', 'F', 'C']",-196,1,-196,,
0_From_Review_482,['C'],"['S', 'C']","['C', 'C', 'F']","['F', 'C', 'C', 'F']","['F', 'C', 'S', 'F']","['F', 'C', 'C']",-165,1,-165,,
4_From_Review_482,['C'],"['S', 'C']","['C', 'F', 'C']","['F', 'C', 'F', 'C']","['C', 'F', 'F', 'S']","['C', 'F', 'C']",-165,1,-165,,
6_From_Review_482,['C'],"['C', 'C']","['S', 'F', 'F', 'C']","['C', 'F', 'S']","['F', 'C', 'C']","['C', 'F', 'F', 'C']",-156,1,-156,,
8_From_Review_482,['C'],"['C', 'C']","['C', 'F', 'F', 'S']","['S', 'F', 'C']","['C', 'F', 'C']","['F', 'C', 'F', 'C']",-156,1,-156,,
0_From_Review_483,['C'],"['C', 'C']","['N', 'H', 'N', 'H']","['C', 'C']","['F', 'F']",[],-141,1,-141,,
5_From_Review_484,['C'],"['C', 'C']","['N', 'H', 'F', 'N']","['C', 'C']","['F', 'F']",[],-155,1,-155,,
7_From_Review_484,['C'],"['C', 'N']","['C', 'F', 'C']","['N', 'H', 'F', 'N']",[],[],-72,1,-72,,
4_From_Review_485,['C'],"['N', 'C']","['C', 'F', 'C']","['F', 'N', 'F', 'N']",[],[],-69,1,-69,,
6_From_Review_485,['C'],"['C', 'C']","['N', 'F', 'F', 'N']","['C', 'C']","['F', 'F']",[],-171,1,-171,,
8_From_Review_485,['C'],"['C', 'N']","['C', 'F', 'C']","['N', 'F', 'F', 'N']",[],[],-69,1,-69,,
,,,,,,,,MAX,-63,-68,-88
,,,,,,,,MIN,-196,-205,-141
,,,,,,,,MEAN,-136.3818033,-128.4408824,-122.8571429
,,,,,,,,COUNT,183,102,7
