,0,1,2,3,4,5,NMR_Peaks
19_From_Review_378,['C'],"['C', 'F', 'F']","['C', 'C']","['C', 'C', 'C', 'C']","['C', 'C', 'F', 'F', 'F', 'F', 'F', 'F', 'C', 'C']","['C', 'F', 'F', 'F', 'H', 'H', 'H', 'C']",-53.5
24_From_Review_378,['C'],"['C', 'F', 'F']","['C', 'C']","['C', 'C', 'C', 'C']","['C', 'C', 'F', 'F', 'F', 'H', 'H', 'H', 'C', 'C']","['C', 'F', 'F', 'F', 'F', 'F', 'F', 'C']",-55.5
4_From_Review_379,['C'],"['C', 'F', 'F']","['C', 'C']","['O', 'C', 'C', 'C']","['H', 'C', 'C', 'F', 'F', 'F', 'C', 'C']","['C', 'F', 'F', 'F', 'F', 'F', 'F', 'C']",-55.8
9_From_Review_379,['C'],"['C', 'F', 'F']","['C', 'C']","['C', 'C', 'C', 'C']","['O', 'C', 'F', 'F', 'F', 'F', 'F', 'F', 'C', 'C']","['H', 'C', 'F', 'F', 'F', 'C']",-51.5
14_From_Review_379,['C'],"['C', 'F', 'F']","['C', 'C']","['C', 'C', 'C', 'C']","['C', 'C', 'F', 'F', 'F', 'F', 'F', 'F', 'C', 'C']","['O', 'F', 'F', 'F', 'F', 'F', 'F', 'O']",-49.4
19_From_Review_379,['C'],"['C', 'F', 'F']","['C', 'C']","['C', 'C', 'C', 'C']","['C', 'C', 'F', 'F', 'F', 'F', 'F', 'F', 'O', 'C']","['C', 'F', 'F', 'F', 'H', 'C']",-51.5
24_From_Review_379,['C'],"['C', 'F', 'F']","['C', 'C']","['C', 'C', 'O', 'C']","['C', 'C', 'F', 'F', 'F', 'H', 'C', 'C']","['C', 'F', 'F', 'F', 'F', 'F', 'F', 'C']",-55.8
4_From_Review_380,['C'],"['C', 'F', 'F']","['C', 'C']","['N', 'C', 'C', 'C']","['H', 'H', 'C', 'C', 'F', 'F', 'F', 'C', 'C']","['C', 'F', 'F', 'F', 'F', 'F', 'F', 'C']",-58.9
9_From_Review_380,['C'],"['C', 'F', 'F']","['C', 'C']","['C', 'C', 'C', 'C']","['N', 'C', 'F', 'F', 'F', 'F', 'F', 'F', 'C', 'C']","['H', 'H', 'C', 'F', 'F', 'F', 'C']",-53.3
14_From_Review_380,['C'],"['C', 'F', 'F']","['C', 'C']","['C', 'C', 'C', 'C']","['C', 'C', 'F', 'F', 'F', 'F', 'F', 'F', 'C', 'C']","['N', 'F', 'F', 'F', 'F', 'F', 'F', 'N']",-51.0
19_From_Review_380,['C'],"['C', 'F', 'F']","['C', 'C']","['C', 'C', 'C', 'C']","['C', 'C', 'F', 'F', 'F', 'F', 'F', 'F', 'N', 'C']","['C', 'F', 'F', 'F', 'H', 'H', 'C']",-53.3
24_From_Review_380,['C'],"['C', 'F', 'F']","['C', 'C']","['C', 'C', 'N', 'C']","['C', 'C', 'F', 'F', 'F', 'H', 'H', 'C', 'C']","['C', 'F', 'F', 'F', 'F', 'F', 'F', 'C']",-58.9
11_From_Review_454,['C'],"['C', 'F', 'F']","['C', 'C']","['C', 'F', 'F', 'C']","['C', 'F', 'F', 'C']","['C', 'C']",-58.0
6_From_Review_455,['C'],"['C', 'F', 'F']","['C', 'C']","['C', 'F', 'F', 'C']","['F', 'C', 'F', 'C']","['Cl', 'Cl']",-55.0
