,0,1,2,3,4,5,NMR_Peaks
7_other_11,['C'],"['C', 'F', 'C']","['C', 'H', 'H', 'F', 'F', 'C']","['P', 'H', 'H', 'F', 'F', 'C']","['O', 'O', 'O', 'F', 'F', 'C']","['H', 'H', 'F', 'F', 'C']",-116.4
8_From_Review_251,['C'],"['C', 'F', 'C']","['C', 'H', 'H', 'O', 'O']","['C', 'H', 'H', 'C']","['C', 'H', 'H', 'C', 'H', 'H']","['C', 'H', 'H', 'H', 'H', 'H']",-105
0_From_Review_394,['C'],"['F', 'C', 'C']","['C', 'H', 'H', 'C', 'F', 'F']","['C', 'H', 'H', 'C', 'F', 'F']","['H', 'H', 'H', 'H']",[],-118
7_From_Review_394,['C'],"['C', 'F', 'C']","['C', 'H', 'H', 'F', 'F', 'C']","['C', 'H', 'H', 'F', 'F', 'C']","['H', 'H', 'H', 'H']",[],-118
0_From_Review_395,['C'],"['F', 'C', 'C']","['C', 'H', 'H', 'C', 'F', 'F']","['C', 'H', 'H', 'C', 'F', 'F']","['F', 'F', 'F', 'F']",[],-118
6_From_Review_395,['C'],"['C', 'F', 'C']","['C', 'H', 'H', 'F', 'F', 'C']","['C', 'H', 'H', 'F', 'F', 'C']","['F', 'F', 'F', 'F']",[],-118
13_From_Review_401,['C'],"['C', 'F', 'C']","['C', 'H', 'H', 'F', 'F', 'C']","['C', 'H', 'H', 'F', 'F', 'F']","['C', 'H', 'H']","['C', 'H', 'H']",-116
6_From_Review_420,['C'],"['C', 'F', 'C']","['C', 'H', 'H', 'F', 'F', 'C']","['C', 'H', 'H', 'F', 'F', 'C']","['O', 'O', 'F', 'F', 'C']","['H', 'F', 'F', 'F']",-114.2
,,,,,,MAX,-105
,,,,,,MIN,-123.57
,,,,,,MEAN,-114.9278378
,,,,,,COUNT,37
