,actual,prediction,diff
15_alkanes_3,-121.7,-122.443855,0.7438552856445284
17_alkanes_3,-121.81,-122.96696,1.156957092285154
18_alkanes_3,-121.81,-115.30538,6.5046182250976585
20_alkanes_3,-122.63,-123.7573,1.1273013305664108
21_alkanes_3,-122.63,-124.36835,1.7383471679687545
23_alkanes_3,-126.06,-124.78492,1.275080261230471
24_alkanes_3,-126.06,-126.17092,0.11092132568359148
26_alkanes_3,-80.72,-81.36822,0.6482174682617199
27_alkanes_3,-80.72,-81.92058,1.2005780029296886
28_alkanes_3,-80.72,-81.002815,0.2828152465820324
7_other_11,-116.4,-115.72991,0.6700881958007869
8_other_11,-116.4,-115.44642,0.9535812377929744
10_other_11,-122.69,-122.17435,0.5156530761718727
11_other_11,-122.69,-122.144,0.5460028076171852
13_other_11,-122.83,-122.288826,0.541174011230467
14_other_11,-122.83,-122.41568,0.4143200683593733
16_other_11,-122.83,-122.0075,0.8225003051757795
17_other_11,-122.83,-122.31246,0.5175381469726545
19_other_11,-122.83,-122.004196,0.8258038330078108
20_other_11,-122.83,-122.70928,0.12071807861327954
22_other_11,-122.83,-121.97698,0.8530178833007795
23_other_11,-122.83,-122.34628,0.4837170410156233
25_other_11,-123.69,-122.58524,1.1047567749023415
26_other_11,-123.69,-122.45823,1.2317709350585915
28_other_11,-124.45,-122.82227,1.6277267456054716
29_other_11,-124.45,-123.4683,0.9817001342773466
31_other_11,-127.26,-125.99863,1.2613732910156301
32_other_11,-127.26,-126.00463,1.2553689575195364
34_other_11,-82.36,-81.14314,1.216857299804687
35_other_11,-82.36,-81.52474,0.8352578735351557
36_other_11,-82.36,-81.186424,1.1735757446289057
0_From_Review_371,-58.0,-59.254765,1.2547645568847656
2_From_Review_371,-58.0,-59.41785,1.4178504943847656
3_From_Review_371,-58.0,-62.760227,4.760227203369141
10_From_Review_371,-58.0,-63.455654,5.455654144287109
11_From_Review_371,-58.0,-60.493996,2.4939956665039062
12_From_Review_371,-58.0,-60.288723,2.2887229919433594
15_From_Review_371,-55.0,-59.678173,4.678173065185547
16_From_Review_371,-55.0,-58.56113,3.5611305236816406
17_From_Review_371,-55.0,-59.573513,4.573513031005859
2_From_Review_219,-103.0,-101.59441,1.4055862426757812
3_From_Review_219,-103.0,-101.67939,1.3206100463867188
2_From_Review_9,-65.0,-63.186817,1.8131828308105469
3_From_Review_9,-65.0,-63.058426,1.9415740966796875
4_From_Review_9,-65.0,-63.022076,1.9779243469238281
4_COOH_22,-119.17,-119.75782,0.5878201293945295
5_COOH_22,-119.17,-119.57839,0.40839202880859204
7_COOH_22,-121.82,-122.77509,0.9550930786132881
8_COOH_22,-121.82,-122.69895,0.8789517211914131
10_COOH_22,-122.1,-122.341545,0.24154510498047443
11_COOH_22,-122.1,-122.55221,0.45220794677734943
13_COOH_22,-122.1,-122.21164,0.11163940429688068
14_COOH_22,-122.1,-122.4231,0.32310333251953693
16_COOH_22,-123.0,-122.63769,0.36231231689453125
17_COOH_22,-123.0,-123.05958,0.05957794189453125
19_COOH_22,-123.48,-123.97834,0.49834014892577727
20_COOH_22,-123.48,-124.08121,0.601207275390621
22_COOH_22,-129.49,-125.65335,3.836649169921884
23_COOH_22,-129.49,-125.70291,3.787088623046884
25_COOH_22,-137.3,-136.05685,1.2431457519531364
26_COOH_22,-137.3,-136.26335,1.0366485595703239
4_COOH_30,-120.16,-119.581184,0.5788156127929653
5_COOH_30,-120.16,-119.638145,0.5218545532226528
7_COOH_30,-122.69,-122.47447,0.21552795410156023
8_COOH_30,-122.69,-122.78835,0.09835296630859602
10_COOH_30,-122.69,-122.31295,0.377049865722654
11_COOH_30,-122.69,-121.92862,0.7613806152343727
13_COOH_30,-122.69,-122.37786,0.312138977050779
14_COOH_30,-122.69,-120.77718,1.912816467285154
16_COOH_30,-122.69,-122.61152,0.07848114013671648
17_COOH_30,-122.69,-121.906654,0.7833456420898415
19_COOH_30,-122.69,-122.29005,0.3999533081054665
20_COOH_30,-122.69,-122.50259,0.18741363525390398
22_COOH_30,-123.7,-122.468056,1.2319442749023466
23_COOH_30,-123.7,-122.50262,1.197383117675784
25_COOH_30,-124.05,-123.00655,1.0434463500976534
26_COOH_30,-124.05,-122.99857,1.051426696777341
28_COOH_30,-127.27,-126.302925,0.9670748901367148
29_COOH_30,-127.27,-126.439445,0.8305545043945273
31_COOH_30,-82.37,-81.3606,1.0093966674804733
32_COOH_30,-82.37,-81.36584,1.0041629028320358
33_COOH_30,-82.37,-81.106026,1.2639743041992233
0_ethers_1,-87.11,-91.01315,3.9031530761718756
2_ethers_1,-87.11,-86.646324,0.4636758422851557
7_ethers_1,-80.26,-78.507835,1.7521646118164114
8_ethers_1,-80.26,-79.657455,0.6025445556640676
9_ethers_1,-80.26,-78.67251,1.5874917602539114
0_I_7,-80.91,-81.13821,0.22820648193359716
2_I_7,-80.91,-80.69384,0.21615997314452784
3_I_7,-80.91,-80.17809,0.7319070434570278
5_I_7,-126.22,-124.064674,2.1553256225585926
6_I_7,-126.22,-124.45712,1.7628771972656239
8_I_7,-122.79,-123.29131,0.5013131713867125
9_I_7,-122.79,-123.07912,0.28911682128905625
11_I_7,-121.98,-122.582954,0.6029544067382773
12_I_7,-121.98,-122.517914,0.537913818359371
14_I_7,-121.77,-122.0223,0.25230072021484773
15_I_7,-121.77,-122.129845,0.35984466552734773
17_I_7,-121.77,-121.9821,0.21210144042969148
18_I_7,-121.77,-122.34554,0.5755429077148477
20_I_7,-121.77,-121.85078,0.08077667236328523
21_I_7,-121.77,-122.1083,0.33829925537109773
23_I_7,-121.77,-121.76507,0.004931945800777271
24_I_7,-121.77,-121.81376,0.04375885009766023
26_I_7,-121.77,-121.52753,0.24247314453124602
27_I_7,-121.77,-122.00475,0.23475311279297273
29_I_7,-120.97,-121.61234,0.6423428344726574
30_I_7,-120.97,-121.73932,0.7693188476562511
32_I_7,-113.26,-120.74522,7.485216369628901
33_I_7,-113.26,-120.181816,6.921816101074214
35_I_7,-60.03,-63.17386,3.143858642578124
36_I_7,-60.03,-75.791145,15.76114532470703
0_Cl_4,-79.65,-81.555466,1.9054656982421818
2_Cl_4,-79.65,-81.592186,1.942185974121088
3_Cl_4,-79.65,-81.56641,1.9164062499999943
5_Cl_4,-120.25,-122.18499,1.9349899291992188
6_Cl_4,-120.25,-122.05593,1.8059310913085938
7_other_1,-113.97,-114.94355,0.9735501098632824
8_other_1,-113.97,-115.14892,1.1789181518554699
10_other_1,-124.66,-123.416626,1.2433740234374966
11_other_1,-124.66,-123.10644,1.5535623168945278
13_other_1,-126.26,-125.879654,0.3803460693359426
14_other_1,-126.26,-126.5196,0.25959991455077613
16_other_1,-81.17,-81.64218,0.4721813964843733
17_other_1,-81.17,-81.22999,0.059988098144529545
18_other_1,-81.17,-81.78153,0.6115322875976545
23_other_1,-113.97,-115.78497,1.8149731445312511
