,actual,prediction,diff
5_COOH_31,-120.16,-119.29356213701766,0.8664378629823375
7_COOH_31,-122.66,-122.26365660438077,0.39634339561922616
8_COOH_31,-122.66,-122.26365660438077,0.39634339561922616
10_COOH_31,-122.66,-121.93308141539165,0.7269185846083417
11_COOH_31,-122.66,-121.93308141539165,0.7269185846083417
13_COOH_31,-122.66,-123.08863560474674,0.428635604746745
14_COOH_31,-122.66,-123.08863560474674,0.428635604746745
16_COOH_31,-122.66,-122.94206568310574,0.282065683105742
17_COOH_31,-122.66,-122.94206568310574,0.282065683105742
19_COOH_31,-122.66,-122.94206568310574,0.282065683105742
20_COOH_31,-122.66,-122.94206568310574,0.282065683105742
22_COOH_31,-122.66,-122.94206568310574,0.282065683105742
23_COOH_31,-122.66,-122.94206568310574,0.282065683105742
25_COOH_31,-121.73,-122.94206568310574,1.2120656831057346
26_COOH_31,-121.73,-122.94206568310574,1.2120656831057346
28_COOH_31,-121.58,-122.94206568310574,1.3620656831057403
29_COOH_31,-121.58,-122.94206568310574,1.3620656831057403
31_COOH_31,-122.95,-122.94755591752619,0.0024440824738150013
32_COOH_31,-122.95,-122.94755591752619,0.0024440824738150013
34_COOH_31,-126.2,-126.78583345236709,0.5858334523670834
35_COOH_31,-126.2,-126.78583345236709,0.5858334523670834
37_COOH_31,-81.26,-80.92748439937824,0.3325156006217611
38_COOH_31,-81.26,-80.92748439937824,0.3325156006217611
39_COOH_31,-81.26,-80.92748439937824,0.3325156006217611
0_From_Review_287,-66.0,-63.041116885818944,2.958883114181056
2_From_Review_287,-66.0,-63.041116885818944,2.958883114181056
3_From_Review_287,-66.0,-63.041116885818944,2.958883114181056
0_From_Review_450,-140.0,-141.3257260902449,1.325726090244899
3_From_Review_450,-140.0,-147.1197700492321,7.119770049232102
7_From_Review_450,-140.0,-144.82129048258253,4.821290482582526
9_From_Review_450,-140.0,-139.74523382634803,0.25476617365197285
9_acrylates_1,-113.89,-114.46491481693306,0.5749148169330596
10_acrylates_1,-113.89,-114.46491481693306,0.5749148169330596
12_acrylates_1,-124.56,-128.01373004915007,3.4537300491500673
13_acrylates_1,-124.56,-128.01373004915007,3.4537300491500673
15_acrylates_1,-126.06,-125.6348982727722,0.4251017272277977
16_acrylates_1,-126.06,-125.6348982727722,0.4251017272277977
18_acrylates_1,-81.2,-80.62495406123055,0.5750459387694491
19_acrylates_1,-81.2,-80.62495406123055,0.5750459387694491
20_acrylates_1,-81.2,-80.62495406123055,0.5750459387694491
4_From_Review_242,-83.0,-85.98906772394024,2.989067723940238
5_From_Review_242,-83.0,-85.98906772394024,2.989067723940238
10_From_Review_37,-182.0,-178.10069714075019,3.899302859249815
8_From_Review_268,-63.5,-59.416510445983256,4.083489554016744
9_From_Review_268,-58.0,-59.9112459174829,1.9112459174829013
0_From_Review_448,-91.7,-113.47100591716845,21.771005917168452
2_From_Review_448,-108.1,-111.76553696812958,3.6655369681295866
4_From_Review_448,-193.4,-167.21368939984353,26.186310600156474
6_From_Review_448,-120.5,-117.18457321726099,3.31542678273901
7_From_Review_448,-120.5,-117.18457321726099,3.31542678273901
9_From_Review_448,-127.0,-124.21315181333026,2.7868481866697437
10_From_Review_448,-127.0,-124.21315181333026,2.7868481866697437
12_From_Review_448,-129.0,-126.06300251899756,2.936997481002436
13_From_Review_448,-129.0,-126.06300251899756,2.936997481002436
15_From_Review_448,-83.7,-81.07405432101925,2.625945678980756
16_From_Review_448,-83.7,-81.07405432101925,2.625945678980756
17_From_Review_448,-83.7,-81.07405432101925,2.625945678980756
5_SO3H_5,-114.19,-117.28294865311021,3.092948653110213
6_SO3H_5,-114.19,-117.28294865311021,3.092948653110213
8_SO3H_5,-120.14,-121.52487672914673,1.3848767291467254
9_SO3H_5,-120.14,-121.52487672914673,1.3848767291467254
11_SO3H_5,-121.29,-121.66450756887289,0.37450756887288605
12_SO3H_5,-121.29,-121.66450756887289,0.37450756887288605
14_SO3H_5,-122.21,-122.82241895067824,0.6124189506782471
15_SO3H_5,-122.21,-122.82241895067824,0.6124189506782471
17_SO3H_5,-125.47,-126.78583345236709,1.3158334523670874
18_SO3H_5,-125.47,-126.78583345236709,1.3158334523670874
20_SO3H_5,-80.01,-80.92748439937824,0.9174843993782389
21_SO3H_5,-80.01,-80.92748439937824,0.9174843993782389
22_SO3H_5,-80.01,-80.92748439937824,0.9174843993782389
0_From_Review_20,-148.0,-164.05017479517625,16.050174795176247
2_From_Review_20,-148.0,-164.05017479517625,16.050174795176247
0_From_Review_446,-104.0,-104.98089628792738,0.9808962879273793
2_From_Review_446,-85.0,-111.20658855554125,26.206588555541245
4_From_Review_446,-155.0,-145.23607917271084,9.763920827289155
7_From_Review_446,-46.0,-43.28799500368776,2.7120049963122383
8_From_Review_446,-46.0,-43.28799500368776,2.7120049963122383
9_From_Review_446,-46.0,-43.28799500368776,2.7120049963122383
5_From_Review_274,-81.0,-85.3325306563459,4.332530656345895
6_From_Review_274,-81.0,-85.3325306563459,4.332530656345895
7_From_Review_274,-81.0,-85.3325306563459,4.332530656345895
2_From_Review_113,-113.0,-140.19490637682918,27.19490637682918
7_From_Review_342,-65.0,-72.83285127206486,7.8328512720648575
8_From_Review_342,-65.0,-72.83285127206486,7.8328512720648575
9_From_Review_342,-65.0,-72.83285127206486,7.8328512720648575
0_From_Review_216,-138.0,-155.75528670923734,17.75528670923734
2_From_Review_216,-138.0,-155.75528670923734,17.75528670923734
4_From_Review_216,-138.0,-145.14523298546317,7.145232985463167
5_From_Review_216,-138.0,-145.14523298546317,7.145232985463167
0_other_4,-80.61,-80.75218372940418,0.14218372940418078
2_other_4,-80.61,-80.75218372940418,0.14218372940418078
3_other_4,-80.61,-80.75218372940418,0.14218372940418078
5_other_4,-126.5,-124.62290864334085,1.8770913566591503
6_other_4,-126.5,-124.62290864334085,1.8770913566591503
8_other_4,-118.47,-120.99860943013363,2.5286094301336277
9_other_4,-118.47,-120.99860943013363,2.5286094301336277
11_other_4,-84.1,-106.58898535543078,22.488985355430785
12_other_4,-84.1,-106.58898535543078,22.488985355430785
15_other_4,-84.1,-107.85009372817785,23.75009372817786
16_other_4,-84.1,-107.85009372817785,23.75009372817786
18_other_4,-118.47,-121.54456126381515,3.0745612638151556
19_other_4,-118.47,-121.54456126381515,3.0745612638151556
21_other_4,-126.5,-125.75537661943176,0.7446233805682425
22_other_4,-126.5,-125.75537661943176,0.7446233805682425
24_other_4,-80.61,-80.69169822181966,0.08169822181966424
25_other_4,-80.61,-80.69169822181966,0.08169822181966424
26_other_4,-80.61,-80.69169822181966,0.08169822181966424
28_other_4,-84.1,-107.85009372817785,23.75009372817786
29_other_4,-84.1,-107.85009372817785,23.75009372817786
31_other_4,-118.47,-121.54456126381515,3.0745612638151556
32_other_4,-118.47,-121.54456126381515,3.0745612638151556
34_other_4,-126.5,-125.75537661943176,0.7446233805682425
35_other_4,-126.5,-125.75537661943176,0.7446233805682425
37_other_4,-80.61,-80.69169822181966,0.08169822181966424
38_other_4,-80.61,-80.69169822181966,0.08169822181966424
39_other_4,-80.61,-80.69169822181966,0.08169822181966424
0_From_Review_442,-117.0,-117.86684003753476,0.8668400375347574
2_From_Review_442,-97.0,-92.18324282961896,4.816757170381038
4_From_Review_442,-145.0,-135.4780024802898,9.521997519710197
3_From_Review_217,-84.5,-84.82539843504988,0.32539843504987687
4_From_Review_217,-84.5,-84.82539843504988,0.32539843504987687
5_From_Review_385,-130.0,-119.7448576351053,10.255142364894695
6_From_Review_385,-130.0,-119.7448576351053,10.255142364894695
8_From_Review_385,-136.0,-137.39589885049594,1.3958988504959393
9_From_Review_385,-136.0,-137.39589885049594,1.3958988504959393
5_SO3H_1,-118.91,-120.16820038386578,1.258200383865784
6_SO3H_1,-118.91,-120.16820038386578,1.258200383865784
8_SO3H_1,-80.51,-78.31870616888617,2.191293831113839
9_SO3H_1,-80.51,-78.31870616888617,2.191293831113839
10_SO3H_1,-80.51,-78.31870616888617,2.191293831113839
4_COOH_20,-119.21,-119.29356213701766,0.08356213701766535
5_COOH_20,-119.21,-119.29356213701766,0.08356213701766535
7_COOH_20,-122.09,-123.56849867145976,1.4784986714597608
8_COOH_20,-122.09,-123.56849867145976,1.4784986714597608
10_COOH_20,-123.12,-122.99315998340732,0.12684001659268063
11_COOH_20,-123.12,-122.99315998340732,0.12684001659268063
13_COOH_20,-123.67,-123.23542959551772,0.4345704044822867
14_COOH_20,-123.67,-123.23542959551772,0.4345704044822867
16_COOH_20,-129.73,-120.3754374918812,9.35456250811879
17_COOH_20,-129.73,-120.3754374918812,9.35456250811879
19_COOH_20,-137.39,-137.43407671036863,0.04407671036864258
20_COOH_20,-137.39,-137.43407671036863,0.04407671036864258
4_COOH_3,-119.41,-117.25944759291701,2.1505524070829836
5_COOH_3,-119.41,-117.25944759291701,2.1505524070829836
7_COOH_3,-123.99,-125.47023991912923,1.4802399191292324
8_COOH_3,-123.99,-125.47023991912923,1.4802399191292324
10_COOH_3,-126.26,-125.14442338122993,1.1155766187700777
11_COOH_3,-126.26,-125.14442338122993,1.1155766187700777
13_COOH_3,-81.19,-81.07405432101925,0.1159456789807507
14_COOH_3,-81.19,-81.07405432101925,0.1159456789807507
15_COOH_3,-81.19,-81.07405432101925,0.1159456789807507
6_From_Review_92,-180.0,-178.01674737279794,1.983252627202063
0_I_7,-80.91,-81.42508767290404,0.5150876729040448
2_I_7,-80.91,-81.42508767290404,0.5150876729040448
3_I_7,-80.91,-81.42508767290404,0.5150876729040448
5_I_7,-126.22,-123.54339120908324,2.6766087909167595
6_I_7,-126.22,-123.54339120908324,2.6766087909167595
8_I_7,-122.79,-120.13103140472346,2.658968595276548
9_I_7,-122.79,-120.13103140472346,2.658968595276548
11_I_7,-121.98,-122.26063411329345,0.2806341132934449
12_I_7,-121.98,-122.26063411329345,0.2806341132934449
