Random Seed,mae,rmse,r2
random_seed_42,3.249086741652336,5.6124774851139,0.9572542751005175
random_seed_30,3.6366139797880246,5.760028800569315,0.9579164797472843
random_seed_512,3.23686997769267,5.409911275056399,0.9586953940790667
random_seed_76,3.694174304275347,6.317905596736756,0.9473903891357642
random_seed_61,3.7254762501661722,7.261712434493163,0.9262562917791456
