,0,1,2,3,4,5,NMR_Peaks
0_From_Review_483,F-1;C(//),F-1;C(*C*C//),"F-1;C(*C*C/*N,*N/)","F-1;C(*C*C/*N,*N/*C,*&)","F-1;C(*C*C/*N,*N/*C,*&)*&F/","F-1;C(*C*C/*N,*N/*C,*&)*&F/,/",-141.0
4_From_Review_473,F-1;C(//),F-1;C(*C*C//),"F-1;C(*C*C/*C,*NF/)","F-1;C(*C*C/*C,*NF/*CF,*&,)","F-1;C(*C*C/*C,*NF/*CF,*&,)*&F,/","F-1;C(*C*C/*C,*NF/*CF,*&,)*&F,/,/",-141.0
6_From_Review_473,F-1;C(//),F-1;C(*C*N//),"F-1;C(*C*N/*CF,*C/)","F-1;C(*C*N/*CF,*C/*C,,*&F)","F-1;C(*C*N/*CF,*C/*C,,*&F)*&F,/","F-1;C(*C*N/*CF,*C/*C,,*&F)*&F,/,/",-93.0
9_From_Review_473,F-1;C(//),F-1;C(*C*N//),"F-1;C(*C*N/*CF,*C/)","F-1;C(*C*N/*CF,*C/*C,,*&F)","F-1;C(*C*N/*CF,*C/*C,,*&F)*&F,/","F-1;C(*C*N/*CF,*C/*C,,*&F)*&F,/,/",-93.0
0_From_Review_484,F-1;C(//),F-1;C(*N*N//),"F-1;C(*N*N/*C,*C/)","F-1;C(*N*N/*C,*C/*CF,*&)","F-1;C(*N*N/*C,*C/*CF,*&)*&F,/","F-1;C(*N*N/*C,*C/*CF,*&)*&F,/,/",-45.0
5_From_Review_484,F-1;C(//),F-1;C(*C*C//),"F-1;C(*C*C/*NF,*N/)","F-1;C(*C*C/*NF,*N/*C,,*&)","F-1;C(*C*C/*NF,*N/*C,,*&)*&F/","F-1;C(*C*C/*NF,*N/*C,,*&)*&F/,/",-155.0
7_From_Review_484,F-1;C(//),F-1;C(*C*N//),"F-1;C(*C*N/*CF,*C/)","F-1;C(*C*N/*CF,*C/*N,,*&F)","F-1;C(*C*N/*CF,*C/*N,,*&F)*&,/","F-1;C(*C*N/*CF,*C/*N,,*&F)*&,//",-72.0
9_From_Review_296,F-1;C(//),F-1;C(CFF//),"F-1;C(CFF/CO,,/)","F-1;C(CFF/CO,,/*C*C,)","F-1;C(CFF/CO,,/*C*C,)*C,*C/","F-1;C(CFF/CO,,/*C*C,)*C,*C/*C,*&/",-79.0
10_From_Review_296,F-1;C(//),F-1;C(CFF//),"F-1;C(CFF/CO,,/)","F-1;C(CFF/CO,,/*C*C,)","F-1;C(CFF/CO,,/*C*C,)*C,*C/","F-1;C(CFF/CO,,/*C*C,)*C,*C/*C,*&/",-79.0
11_From_Review_296,F-1;C(//),F-1;C(CFF//),"F-1;C(CFF/CO,,/)","F-1;C(CFF/CO,,/*C*C,)","F-1;C(CFF/CO,,/*C*C,)*C,*C/","F-1;C(CFF/CO,,/*C*C,)*C,*C/*C,*&/",-79.0
0_From_Review_430,F-1;C(//),F-1;C(CFF//),"F-1;C(CFF/CFF,,/)","F-1;C(CFF/CFF,,/CFF,,)","F-1;C(CFF/CFF,,/CFF,,)CFF,,/","F-1;C(CFF/CFF,,/CFF,,)CFF,,/CFF,,/",-81.1
2_From_Review_430,F-1;C(//),F-1;C(CFF//),"F-1;C(CFF/CFF,,/)","F-1;C(CFF/CFF,,/CFF,,)","F-1;C(CFF/CFF,,/CFF,,)CFF,,/","F-1;C(CFF/CFF,,/CFF,,)CFF,,/CFF,,/",-81.1
3_From_Review_430,F-1;C(//),F-1;C(CFF//),"F-1;C(CFF/CFF,,/)","F-1;C(CFF/CFF,,/CFF,,)","F-1;C(CFF/CFF,,/CFF,,)CFF,,/","F-1;C(CFF/CFF,,/CFF,,)CFF,,/CFF,,/",-81.1
5_From_Review_430,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/CFF,FFF,/)","F-1;C(CCF/CFF,FFF,/CFF,,,,,)","F-1;C(CCF/CFF,FFF,/CFF,,,,,)CFF,,/","F-1;C(CCF/CFF,FFF,/CFF,,,,,)CFF,,/CFF,,/",-126.1
6_From_Review_430,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/CFF,FFF,/)","F-1;C(CCF/CFF,FFF,/CFF,,,,,)","F-1;C(CCF/CFF,FFF,/CFF,,,,,)CFF,,/","F-1;C(CCF/CFF,FFF,/CFF,,,,,)CFF,,/CFF,,/",-126.1
8_From_Review_430,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/C,C,FF,FF,/)","F-1;C(CCF/C,C,FF,FF,/CFF,FFF,,,,)","F-1;C(CCF/C,C,FF,FF,/CFF,FFF,,,,)CFF,,,,,/","F-1;C(CCF/C,C,FF,FF,/CFF,FFF,,,,)CFF,,,,,/CFF,,/",-122.5
9_From_Review_430,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/C,C,FF,FF,/)","F-1;C(CCF/C,C,FF,FF,/CFF,FFF,,,,)","F-1;C(CCF/C,C,FF,FF,/CFF,FFF,,,,)CFF,,,,,/","F-1;C(CCF/C,C,FF,FF,/CFF,FFF,,,,)CFF,,,,,/CFF,,/",-122.5
11_From_Review_430,F-1;C(//),F-1;C(CCF//),"F-1;C(CCF/C,C,FF,FF,/)","F-1;C(CCF/C,C,FF,FF,/C,C,FF,FF,,,,)","F-1;C(CCF/C,C,FF,FF,/C,C,FF,FF,,,,)CFF,FFF,,,,/","F-1;C(CCF/C,C,FF,FF,/C,C,FF,FF,,,,)CFF,FFF,,,,/FFF,,,,,/",-121.7
